source	target	strength
T00112	R13247	0.98
T00112	R12728	0.98
T00112	R17036	0.98
T00112	R14156	0.98
T00112	R02098	0.98
T00112	R14790	0.98
T00112	R16960	0.98
T00112	R24064	0.98
T00112	R08152	0.98
T00112	R14623	0.98
T00112	R14624	0.98
T00112	R14625	0.98
T00112	R14707	0.98
T00112	R01224	0.98
T00112	R18127	0.98
T00112	R18128	0.98
T00112	R18130	0.98
T00113	R02100	0.98
T00113	R36052	0.98
T00113	R04350	0.98
T00113	R04338	0.98
T00113	R04339	0.98
T00113	R04343	0.98
T00113	R14537	0.98
T00113	R14491	0.98
T00113	R14492	0.98
T00113	R38325	0.98
T00113	R17066	0.98
T00113	R17067	0.98
T00113	R17068	0.98
T00113	R17177	0.98
T00113	R08492	0.98
T00113	R14803	0.98
T00113	R36061	0.98
T00113	R04985	0.98
T00113	R18424	0.98
T00113	R36051	0.98
T00113	R36054	0.98
T00113	R18145	0.98
T00113	R01224	0.98
T00113	R26228	0.98
T00113	R14393	0.98
T00113	R18127	0.98
T00113	R18128	0.98
T00113	R18130	0.98
T00123	R02666	0.98
T00123	R03082	0.98
T00123	R22897	0.98
T00123	R25004	0.98
T00123	R02667	0.98
T00123	R29956	0.98
T00123	R00199	0.98
T00123	R60543	0.98
T00123	R37581	0.98
T00123	R02420	0.98
T00123	R26587	0.98
T00123	R38918	0.98
T00123	R25009	0.98
T00123	R27031	0.98
T00123	R27990	0.98
T00123	R68064	0.98
T00123	R62977	0.98
T00123	R62914	0.98
T00123	R39186	0.98
T00123	R24143	0.98
T00123	R61972	0.98
T00123	R26710	0.98
T00123	R22661	0.98
T00123	R04127	0.98
T00123	R61832	0.98
T00123	R29741	0.98
T00123	R26886	0.98
T00123	R14540	0.98
T00123	R16117	0.98
T00123	R68203	0.98
T00123	R68212	0.98
T00123	R23022	0.98
T00123	R20615	0.98
T00123	R41829	0.98
T00123	R41830	0.98
T00123	R37082	0.98
T00123	R35817	0.98
T00123	R26802	0.98
T00123	R31706	0.98
T00123	R31708	0.98
T00123	R41737	0.98
